cpi_category,period,year,month,uom,cpi_value,geo,cpi_yoy_change_percent
All-items,2017-01-01,2017,1,2002=100,129.5,Canada,
All-items,2017-02-01,2017,2,2002=100,129.7,Canada,
All-items,2017-03-01,2017,3,2002=100,129.9,Canada,
All-items,2017-04-01,2017,4,2002=100,130.4,Canada,
All-items,2017-05-01,2017,5,2002=100,130.5,Canada,
All-items,2017-06-01,2017,6,2002=100,130.4,Canada,
All-items,2017-07-01,2017,7,2002=100,130.4,Canada,
All-items,2017-08-01,2017,8,2002=100,130.5,Canada,
All-items,2017-09-01,2017,9,2002=100,130.8,Canada,
All-items,2017-10-01,2017,10,2002=100,130.9,Canada,
All-items,2017-11-01,2017,11,2002=100,131.3,Canada,
All-items,2017-12-01,2017,12,2002=100,130.8,Canada,
All-items,2018-01-01,2018,1,2002=100,131.7,Canada,1.698841698841691
All-items,2018-02-01,2018,2,2002=100,132.5,Canada,2.1588280647648617
All-items,2018-03-01,2018,3,2002=100,132.9,Canada,2.3094688221708903
All-items,2018-04-01,2018,4,2002=100,133.3,Canada,2.223926380368102
All-items,2018-05-01,2018,5,2002=100,133.4,Canada,2.2222222222222365
All-items,2018-06-01,2018,6,2002=100,133.6,Canada,2.4539877300613355
All-items,2018-07-01,2018,7,2002=100,134.3,Canada,2.9907975460122804
All-items,2018-08-01,2018,8,2002=100,134.2,Canada,2.8352490421455823
All-items,2018-09-01,2018,9,2002=100,133.7,Canada,2.2171253822629744
All-items,2018-10-01,2018,10,2002=100,134.1,Canada,2.444614209320073
All-items,2018-11-01,2018,11,2002=100,133.5,Canada,1.6755521706016685
All-items,2018-12-01,2018,12,2002=100,133.4,Canada,1.9877675840978437
All-items,2019-01-01,2019,1,2002=100,133.6,Canada,1.4426727410782103
All-items,2019-02-01,2019,2,2002=100,134.5,Canada,1.5094339622641506
All-items,2019-03-01,2019,3,2002=100,135.4,Canada,1.8811136192625977
All-items,2019-04-01,2019,4,2002=100,136.0,Canada,2.025506376594133
All-items,2019-05-01,2019,5,2002=100,136.6,Canada,2.398800599700146
All-items,2019-06-01,2019,6,2002=100,136.3,Canada,2.020958083832358
All-items,2019-07-01,2019,7,2002=100,137.0,Canada,2.010424422933732
All-items,2019-08-01,2019,8,2002=100,136.8,Canada,1.9374068554396606
All-items,2019-09-01,2019,9,2002=100,136.2,Canada,1.8698578908002972
All-items,2019-10-01,2019,10,2002=100,136.6,Canada,1.8642803877703118
All-items,2019-11-01,2019,11,2002=100,136.4,Canada,2.1722846441947663
All-items,2019-12-01,2019,12,2002=100,136.4,Canada,2.2488755622188883
All-items,2020-01-01,2020,1,2002=100,136.8,Canada,2.3952095808383422
All-items,2020-02-01,2020,2,2002=100,137.4,Canada,2.1561338289962872
All-items,2020-03-01,2020,3,2002=100,136.6,Canada,0.8862629246676468
All-items,2020-04-01,2020,4,2002=100,135.7,Canada,-0.22058823529412797
All-items,2020-05-01,2020,5,2002=100,136.1,Canada,-0.36603221083455484
All-items,2020-06-01,2020,6,2002=100,137.2,Canada,0.6603081438004255
All-items,2020-07-01,2020,7,2002=100,137.2,Canada,0.14598540145984717
All-items,2020-08-01,2020,8,2002=100,137.0,Canada,0.14619883040933868
All-items,2020-09-01,2020,9,2002=100,136.9,Canada,0.5139500734214542
All-items,2020-10-01,2020,10,2002=100,137.5,Canada,0.6588579795022032
All-items,2020-11-01,2020,11,2002=100,137.7,Canada,0.9530791788856074
All-items,2020-12-01,2020,12,2002=100,137.4,Canada,0.7331378299120228
All-items,2021-01-01,2021,1,2002=100,138.2,Canada,1.0233918128654818
All-items,2021-02-01,2021,2,2002=100,138.9,Canada,1.091703056768556
All-items,2021-03-01,2021,3,2002=100,139.6,Canada,2.196193265007329
All-items,2021-04-01,2021,4,2002=100,140.3,Canada,3.3898305084745894
All-items,2021-05-01,2021,5,2002=100,141.0,Canada,3.6002939015429947
All-items,2021-06-01,2021,6,2002=100,141.4,Canada,3.061224489795933
All-items,2021-07-01,2021,7,2002=100,142.3,Canada,3.7172011661807725
All-items,2021-08-01,2021,8,2002=100,142.6,Canada,4.0875912408758985
All-items,2021-09-01,2021,9,2002=100,142.9,Canada,4.382761139517899
All-items,2021-10-01,2021,10,2002=100,143.9,Canada,4.654545454545467
All-items,2021-11-01,2021,11,2002=100,144.2,Canada,4.720406681191003
All-items,2021-12-01,2021,12,2002=100,144.0,Canada,4.8034934497816595
All-items,2022-01-01,2022,1,2002=100,145.3,Canada,5.137481910274988
All-items,2022-02-01,2022,2,2002=100,146.8,Canada,5.6875449964002955
All-items,2022-03-01,2022,3,2002=100,148.9,Canada,6.6618911174785245
All-items,2022-04-01,2022,4,2002=100,149.8,Canada,6.77120456165361
All-items,2022-05-01,2022,5,2002=100,151.9,Canada,7.730496453900715
All-items,2022-06-01,2022,6,2002=100,152.9,Canada,8.13295615275813
All-items,2022-07-01,2022,7,2002=100,153.1,Canada,7.589599437807437
All-items,2022-08-01,2022,8,2002=100,152.6,Canada,7.012622720897621
All-items,2022-09-01,2022,9,2002=100,152.7,Canada,6.857942617214818
All-items,2022-10-01,2022,10,2002=100,153.8,Canada,6.879777623349548
All-items,2022-11-01,2022,11,2002=100,154.0,Canada,6.796116504854388
All-items,2022-12-01,2022,12,2002=100,153.1,Canada,6.319444444444433
All-items,2023-01-01,2023,1,2002=100,153.9,Canada,5.918788713007572
