industry,period,year,month,uom,measure_value,geo,measure,measure_yoy_change_percent
Convenience retailers and vending machine operators [44513],2017-01-01,2017,1,Dollars,670.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),
Convenience retailers and vending machine operators [44513],2017-02-01,2017,2,Dollars,676.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),
Convenience retailers and vending machine operators [44513],2017-03-01,2017,3,Dollars,658.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),
Convenience retailers and vending machine operators [44513],2017-04-01,2017,4,Dollars,660.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),
Convenience retailers and vending machine operators [44513],2017-05-01,2017,5,Dollars,653.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),
Convenience retailers and vending machine operators [44513],2017-06-01,2017,6,Dollars,656.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),
Convenience retailers and vending machine operators [44513],2017-07-01,2017,7,Dollars,656.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),
Convenience retailers and vending machine operators [44513],2017-08-01,2017,8,Dollars,647.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),
Convenience retailers and vending machine operators [44513],2017-09-01,2017,9,Dollars,668.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),
Convenience retailers and vending machine operators [44513],2017-10-01,2017,10,Dollars,676.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),
Convenience retailers and vending machine operators [44513],2017-11-01,2017,11,Dollars,667.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),
Convenience retailers and vending machine operators [44513],2017-12-01,2017,12,Dollars,651.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),
Convenience retailers and vending machine operators [44513],2018-01-01,2018,1,Dollars,651.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-2.8358208955223896
Convenience retailers and vending machine operators [44513],2018-02-01,2018,2,Dollars,656.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-2.9585798816568087
Convenience retailers and vending machine operators [44513],2018-03-01,2018,3,Dollars,659.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),0.1519756838905817
Convenience retailers and vending machine operators [44513],2018-04-01,2018,4,Dollars,649.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-1.6666666666666718
Convenience retailers and vending machine operators [44513],2018-05-01,2018,5,Dollars,675.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),3.369065849923425
Convenience retailers and vending machine operators [44513],2018-06-01,2018,6,Dollars,667.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),1.67682926829269
Convenience retailers and vending machine operators [44513],2018-07-01,2018,7,Dollars,698.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),6.4024390243902385
Convenience retailers and vending machine operators [44513],2018-08-01,2018,8,Dollars,672.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),3.863987635239563
Convenience retailers and vending machine operators [44513],2018-09-01,2018,9,Dollars,666.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-0.29940119760478723
Convenience retailers and vending machine operators [44513],2018-10-01,2018,10,Dollars,671.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-0.7396449704141994
Convenience retailers and vending machine operators [44513],2018-11-01,2018,11,Dollars,669.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),0.2998500749625155
Convenience retailers and vending machine operators [44513],2018-12-01,2018,12,Dollars,653.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),0.3072196620583778
Convenience retailers and vending machine operators [44513],2019-01-01,2019,1,Dollars,623.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-4.3010752688172005
Convenience retailers and vending machine operators [44513],2019-02-01,2019,2,Dollars,628.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-4.268292682926833
Convenience retailers and vending machine operators [44513],2019-03-01,2019,3,Dollars,626.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-5.00758725341427
Convenience retailers and vending machine operators [44513],2019-04-01,2019,4,Dollars,609.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-6.1633281972265035
Convenience retailers and vending machine operators [44513],2019-05-01,2019,5,Dollars,605.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-10.370370370370374
Convenience retailers and vending machine operators [44513],2019-06-01,2019,6,Dollars,606.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-9.145427286356822
Convenience retailers and vending machine operators [44513],2019-07-01,2019,7,Dollars,600.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-14.04011461318052
Convenience retailers and vending machine operators [44513],2019-08-01,2019,8,Dollars,606.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-9.82142857142857
Convenience retailers and vending machine operators [44513],2019-09-01,2019,9,Dollars,602.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-9.609609609609615
Convenience retailers and vending machine operators [44513],2019-10-01,2019,10,Dollars,596.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-11.177347242921009
Convenience retailers and vending machine operators [44513],2019-11-01,2019,11,Dollars,605.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-9.566517189835578
Convenience retailers and vending machine operators [44513],2019-12-01,2019,12,Dollars,618.0,Canada,Retail sales at 2017 constant prices (Unchained Laspeyres Index),-5.359877488514552
