geo,period,year,month,uom,retail_sales,industry,sales_type,adjustment,retail_sales_yoy_change_percent
Alberta,2025-11-01,2025,11,Dollars,9247734.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Alberta,2025-12-01,2025,12,Dollars,8999012.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Alberta,2026-01-01,2026,1,Dollars,9360463.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Alberta,2026-02-01,2026,2,Dollars,9225411.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Alberta,2026-03-01,2026,3,Dollars,9467302.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
British Columbia,2025-11-01,2025,11,Dollars,9665996.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
British Columbia,2025-12-01,2025,12,Dollars,9619953.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
British Columbia,2026-01-01,2026,1,Dollars,9759008.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
British Columbia,2026-02-01,2026,2,Dollars,9705066.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
British Columbia,2026-03-01,2026,3,Dollars,9752691.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Canada,2025-11-01,2025,11,Dollars,70985144.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Canada,2025-12-01,2025,12,Dollars,70708740.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Canada,2026-01-01,2026,1,Dollars,71532029.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Canada,2026-02-01,2026,2,Dollars,72007746.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Canada,2026-03-01,2026,3,Dollars,72666223.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Manitoba,2025-11-01,2025,11,Dollars,2390847.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Manitoba,2025-12-01,2025,12,Dollars,2377432.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Manitoba,2026-01-01,2026,1,Dollars,2382217.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Manitoba,2026-02-01,2026,2,Dollars,2433655.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Manitoba,2026-03-01,2026,3,Dollars,2475427.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
New Brunswick,2025-11-01,2025,11,Dollars,1578334.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
New Brunswick,2025-12-01,2025,12,Dollars,1593453.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
New Brunswick,2026-01-01,2026,1,Dollars,1606619.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
New Brunswick,2026-02-01,2026,2,Dollars,1624756.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
New Brunswick,2026-03-01,2026,3,Dollars,1635354.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Newfoundland and Labrador,2025-11-01,2025,11,Dollars,1041652.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Newfoundland and Labrador,2025-12-01,2025,12,Dollars,1003962.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Newfoundland and Labrador,2026-01-01,2026,1,Dollars,1042287.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Newfoundland and Labrador,2026-02-01,2026,2,Dollars,1048798.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
