cpi_category,period,year,month,uom,food_cpi,geo,food_cpi_yoy_change_percent,category_lower,overall_cpi,overall_cpi_yoy_change_percent,food_minus_overall_cpi_growth
Food,2017-01-01,2017,1,2002=100,141.5,Canada,,food,129.5,,
Food,2017-02-01,2017,2,2002=100,141.7,Canada,,food,129.7,,
Food,2017-03-01,2017,3,2002=100,141.8,Canada,,food,129.9,,
Food,2017-04-01,2017,4,2002=100,142.2,Canada,,food,130.4,,
Food,2017-05-01,2017,5,2002=100,143.1,Canada,,food,130.5,,
Food,2017-06-01,2017,6,2002=100,143.6,Canada,,food,130.4,,
Food,2017-07-01,2017,7,2002=100,144.1,Canada,,food,130.4,,
Food,2017-08-01,2017,8,2002=100,143.6,Canada,,food,130.5,,
Food,2017-09-01,2017,9,2002=100,142.4,Canada,,food,130.8,,
Food,2017-10-01,2017,10,2002=100,141.7,Canada,,food,130.9,,
Food,2017-11-01,2017,11,2002=100,142.9,Canada,,food,131.3,,
Food,2017-12-01,2017,12,2002=100,143.4,Canada,,food,130.8,,
Food,2018-01-01,2018,1,2002=100,144.7,Canada,2.2614840989399143,food,131.7,1.698841698841691,0.5626424000982233
Food,2018-02-01,2018,2,2002=100,144.7,Canada,2.117148906139743,food,132.5,2.1588280647648617,-0.04167915862511862
Food,2018-03-01,2018,3,2002=100,144.2,Canada,1.6925246826515972,food,132.9,2.3094688221708903,-0.6169441395192932
Food,2018-04-01,2018,4,2002=100,144.8,Canada,1.82841068917019,food,133.3,2.223926380368102,-0.3955156911979121
Food,2018-05-01,2018,5,2002=100,144.6,Canada,1.048218029350112,food,133.4,2.2222222222222365,-1.1740041928721245
Food,2018-06-01,2018,6,2002=100,145.6,Canada,1.392757660167132,food,133.6,2.4539877300613355,-1.0612300698942034
Food,2018-07-01,2018,7,2002=100,146.1,Canada,1.3879250520471895,food,134.3,2.9907975460122804,-1.602872493965091
Food,2018-08-01,2018,8,2002=100,145.9,Canada,1.6016713091921986,food,134.2,2.8352490421455823,-1.2335777329533837
Food,2018-09-01,2018,9,2002=100,144.9,Canada,1.755617977528079,food,133.7,2.2171253822629744,-0.4615074047348955
Food,2018-10-01,2018,10,2002=100,144.6,Canada,2.0465772759350687,food,134.1,2.444614209320073,-0.39803693338500423
Food,2018-11-01,2018,11,2002=100,146.1,Canada,2.2393282015395366,food,133.5,1.6755521706016685,0.5637760309378681
Food,2018-12-01,2018,12,2002=100,147.5,Canada,2.859135285913528,food,133.4,1.987767584097844,0.8713677018156842
Food,2019-01-01,2019,1,2002=100,148.7,Canada,2.764340013821709,food,133.6,1.4426727410782103,1.3216672727434986
Food,2019-02-01,2019,2,2002=100,149.3,Canada,3.178991015894961,food,134.5,1.5094339622641506,1.6695570536308102
Food,2019-03-01,2019,3,2002=100,149.4,Canada,3.606102635228869,food,135.4,1.8811136192625977,1.7249890159662713
