geo,period,year,month,uom,retail_sales,industry,sales_type,adjustment,retail_sales_yoy_change_percent
Canada,2026-03-01,2026,3,Dollars,72666223.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Ontario,2026-03-01,2026,3,Dollars,27457787.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Quebec,2026-03-01,2026,3,Dollars,15954373.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
British Columbia,2026-03-01,2026,3,Dollars,9752691.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Alberta,2026-03-01,2026,3,Dollars,9467302.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Manitoba,2026-03-01,2026,3,Dollars,2475427.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Saskatchewan,2026-03-01,2026,3,Dollars,2268392.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Nova Scotia,2026-03-01,2026,3,Dollars,1972448.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
New Brunswick,2026-03-01,2026,3,Dollars,1635354.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Newfoundland and Labrador,2026-03-01,2026,3,Dollars,1096152.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Prince Edward Island,2026-03-01,2026,3,Dollars,323166.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Yukon,2026-03-01,2026,3,Dollars,107451.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Northwest Territories,2026-03-01,2026,3,Dollars,87064.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Nunavut,2026-03-01,2026,3,Dollars,68617.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
