product,period,year,month,uom,price,geo,price_yoy_change_percent
"Pork shoulder cuts, per kilogram",2026-04-01,2026,4,Dollars,8.32,Canada,-15.274949083503053
"Avocado, unit",2026-04-01,2026,4,Dollars,2.06,Canada,-12.71186440677965
"Oranges, per kilogram",2026-04-01,2026,4,Dollars,4.17,Canada,-8.552631578947366
"Baby food, 128 millilitres",2026-04-01,2026,4,Dollars,1.49,Canada,-6.289308176100638
"Pork loin cuts, per kilogram",2026-04-01,2026,4,Dollars,9.15,Canada,-5.279503105590056
"Oranges, 1.36 kilograms 5",2026-04-01,2026,4,Dollars,5.45,Canada,-5.217391304347818
"Flatbread and pita, 500 grams",2026-04-01,2026,4,Dollars,3.37,Canada,-4.532577903682711
"Pork rib cuts, per kilogram",2026-04-01,2026,4,Dollars,8.76,Canada,-4.471101417666301
"Ketchup, 1 litre",2026-04-01,2026,4,Dollars,4.73,Canada,-4.251012145748989
"Onions, 1.36 kilograms",2026-04-01,2026,4,Dollars,4.57,Canada,-2.972399150743088
"Salad greens, 142 grams",2026-04-01,2026,4,Dollars,4.51,Canada,-2.801724137931028
"Mayonnaise, 890 millilitres",2026-04-01,2026,4,Dollars,6.25,Canada,-2.7993779160186527
"White sugar, 2 kilograms",2026-04-01,2026,4,Dollars,2.86,Canada,-2.7210884353741527
"Squash, per kilogram",2026-04-01,2026,4,Dollars,4.63,Canada,-2.526315789473688
"Frozen french fried potatoes, 750 grams",2026-04-01,2026,4,Dollars,3.49,Canada,-2.5139664804469275
